Component,Origin,License
core,k8s.io/client-go/tools/clientcmd/api/latest,Apache-2.0
core,k8s.io/client-go/tools/clientcmd/api/v1,Apache-2.0
core,k8s.io/client-go/tools/leaderelection,Apache-2.0
core,k8s.io/client-go/tools/leaderelection/resourcelock,Apache-2.0
core,k8s.io/client-go/tools/metrics,Apache-2.0
core,k8s.io/client-go/tools/pager,Apache-2.0
core,k8s.io/client-go/tools/record,Apache-2.0
core,k8s.io/client-go/tools/record/util,Apache-2.0
core,k8s.io/client-go/tools/reference,Apache-2.0
core,k8s.io/client-go/transport,Apache-2.0
core,k8s.io/client-go/util/cert,Apache-2.0
core,k8s.io/client-go/util/connrotation,Apache-2.0
core,k8s.io/client-go/util/flowcontrol,Apache-2.0
core,k8s.io/client-go/util/homedir,Apache-2.0
core,k8s.io/client-go/util/jsonpath,Apache-2.0
core,k8s.io/client-go/util/keyutil,Apache-2.0
core,k8s.io/client-go/util/retry,Apache-2.0
core,k8s.io/client-go/util/workqueue,Apache-2.0
core,k8s.io/code-generator,Apache-2.0
core,k8s.io/code-generator/cmd/client-gen,Apache-2.0
core,k8s.io/code-generator/cmd/client-gen/args,Apache-2.0
core,k8s.io/code-generator/cmd/client-gen/generators,Apache-2.0
core,k8s.io/code-generator/cmd/client-gen/generators/fake,Apache-2.0
core,k8s.io/code-generator/cmd/client-gen/generators/scheme,Apache-2.0
core,k8s.io/code-generator/cmd/client-gen/generators/util,Apache-2.0
core,k8s.io/code-generator/cmd/client-gen/path,Apache-2.0
core,k8s.io/code-generator/cmd/client-gen/types,Apache-2.0
core,k8s.io/code-generator/cmd/conversion-gen,Apache-2.0
core,k8s.io/code-generator/cmd/conversion-gen/args,Apache-2.0
core,k8s.io/code-generator/cmd/conversion-gen/generators,Apache-2.0
core,k8s.io/code-generator/cmd/deepcopy-gen,Apache-2.0
core,k8s.io/code-generator/cmd/deepcopy-gen/args,Apache-2.0
core,k8s.io/code-generator/cmd/defaulter-gen,Apache-2.0
core,k8s.io/code-generator/cmd/defaulter-gen/args,Apache-2.0
core,k8s.io/code-generator/cmd/go-to-protobuf,Apache-2.0
core,k8s.io/code-generator/cmd/go-to-protobuf/protobuf,Apache-2.0
core,k8s.io/code-generator/cmd/import-boss,Apache-2.0
core,k8s.io/code-generator/cmd/informer-gen,Apache-2.0
core,k8s.io/code-generator/cmd/informer-gen/args,Apache-2.0
core,k8s.io/code-generator/cmd/informer-gen/generators,Apache-2.0
core,k8s.io/code-generator/cmd/lister-gen,Apache-2.0
core,k8s.io/code-generator/cmd/lister-gen/args,Apache-2.0
core,k8s.io/code-generator/cmd/lister-gen/generators,Apache-2.0
core,k8s.io/code-generator/cmd/openapi-gen,Apache-2.0
core,k8s.io/code-generator/cmd/register-gen,Apache-2.0
core,k8s.io/code-generator/cmd/register-gen/args,Apache-2.0
core,k8s.io/code-generator/cmd/register-gen/generators,Apache-2.0
core,k8s.io/code-generator/cmd/set-gen,Apache-2.0
core,k8s.io/code-generator/pkg/namer,Apache-2.0
core,k8s.io/code-generator/pkg/util,Apache-2.0
core,k8s.io/code-generator/third_party/forked/golang/reflect,Apache-2.0
core,k8s.io/gengo/args,Apache-2.0
core,k8s.io/gengo/examples/deepcopy-gen/generators,Apache-2.0
core,k8s.io/gengo/examples/defaulter-gen/generators,Apache-2.0
core,k8s.io/gengo/examples/import-boss/generators,Apache-2.0
core,k8s.io/gengo/examples/set-gen/generators,Apache-2.0
core,k8s.io/gengo/examples/set-gen/sets,Apache-2.0
core,k8s.io/gengo/generator,Apache-2.0
core,k8s.io/gengo/namer,Apache-2.0
core,k8s.io/gengo/parser,Apache-2.0
core,k8s.io/gengo/types,Apache-2.0
core,k8s.io/heapster/metrics/api/v1/types,Apache-2.0
core,k8s.io/klog,Apache-2.0
core,k8s.io/kube-aggregator/pkg/apis/apiregistration,Apache-2.0
core,k8s.io/kube-aggregator/pkg/apis/apiregistration/v1,Apache-2.0
core,k8s.io/kube-openapi/cmd/openapi-gen,Apache-2.0
core,k8s.io/kube-openapi/cmd/openapi-gen/args,Apache-2.0
core,k8s.io/kube-openapi/pkg/common,Apache-2.0
core,k8s.io/kube-openapi/pkg/generators,Apache-2.0
core,k8s.io/kube-openapi/pkg/generators/rules,Apache-2.0
core,k8s.io/kube-openapi/pkg/util/proto,Apache-2.0
core,k8s.io/kube-openapi/pkg/util/sets,Apache-2.0
core,k8s.io/kubernetes/pkg/controller/podautoscaler/metrics,Apache-2.0
core,k8s.io/metrics/pkg/apis/custom_metrics,Apache-2.0
core,k8s.io/metrics/pkg/apis/custom_metrics/v1beta1,Apache-2.0
core,k8s.io/metrics/pkg/apis/custom_metrics/v1beta2,Apache-2.0
core,k8s.io/metrics/pkg/apis/external_metrics,Apache-2.0
core,k8s.io/metrics/pkg/apis/external_metrics/v1beta1,Apache-2.0
core,k8s.io/metrics/pkg/apis/metrics,Apache-2.0
core,k8s.io/metrics/pkg/apis/metrics/v1alpha1,Apache-2.0
core,k8s.io/metrics/pkg/apis/metrics/v1beta1,Apache-2.0
core,k8s.io/metrics/pkg/client/clientset/versioned/scheme,Apache-2.0
core,k8s.io/metrics/pkg/client/clientset/versioned/typed/metrics/v1beta1,Apache-2.0
core,k8s.io/metrics/pkg/client/custom_metrics,Apache-2.0
core,k8s.io/metrics/pkg/client/custom_metrics/scheme,Apache-2.0
core,k8s.io/metrics/pkg/client/external_metrics,Apache-2.0
core,k8s.io/metrics/pkg/client/external_metrics/fake,Apache-2.0
core,k8s.io/utils/buffer,Apache-2.0
core,k8s.io/utils/integer,Apache-2.0
core,k8s.io/utils/pointer,Apache-2.0
core,k8s.io/utils/trace,Apache-2.0
core,sigs.k8s.io/controller-runtime/pkg/cache,Apache-2.0
core,sigs.k8s.io/controller-runtime/pkg/cache/internal,Apache-2.0
core,sigs.k8s.io/controller-runtime/pkg/client,Apache-2.0
